,Call_Buy-Sell,Cmp_Name,Target_Price,Analyst_or_Cmp,Call_Time,Call_Time_normal,Call_Time_secs,Stop_Loss,From_Site
39,Buy,Suprajit Engineering,282,HDFC Securities,"November 21, 2018 03:57 PM",2018-11-21 03:57:00,"November 21, 2018 03:57 PM",#N/A,MoneyControl
40,Buy,JBM Auto,560,HDFC Securities,"November 21, 2018 03:53 PM",2018-11-21 03:53:00,"November 21, 2018 03:53 PM",#N/A,MoneyControl
41,Buy,Sadbhav Engineering,423,HDFC Securities,"November 21, 2018 03:49 PM",2018-11-21 03:49:00,"November 21, 2018 03:49 PM",#N/A,MoneyControl
42,Buy,Lemon Tree,86,HDFC Securities,"November 21, 2018 03:47 PM",2018-11-21 03:47:00,"November 21, 2018 03:47 PM",#N/A,MoneyControl
43,Buy,Ahluwalia Contracts,465,HDFC Securities,"November 21, 2018 03:45 PM",2018-11-21 03:45:00,"November 21, 2018 03:45 PM",#N/A,MoneyControl
44,Buy,JK Lakshmi Cements,347,Cholamandalam Securities,"November 21, 2018 03:38 PM",2018-11-21 03:38:00,"November 21, 2018 03:38 PM",#N/A,MoneyControl
45,Sell,Page Indsutries,22848,Cholamandalam Securities,"November 21, 2018 03:33 PM",2018-11-21 03:33:00,"November 21, 2018 03:33 PM",#N/A,MoneyControl
46,Buy,Raymond,870,Arpan Shah,"November 21, 2018 11:35 AM",2018-11-21 11:35:00,"November 21, 2018 11:35 AM",#N/A,MoneyControl
47,Buy,Vedanta,230,Arpan Shah,"November 21, 2018 11:31 AM",2018-11-21 11:31:00,"November 21, 2018 11:31 AM",#N/A,MoneyControl
48,Buy,Reliance Communications,17,Arpan Shah,"November 21, 2018 11:29 AM",2018-11-21 11:29:00,"November 21, 2018 11:29 AM",#N/A,MoneyControl
49,Buy,Filatex India,59,Shitij Gandhi,"November 21, 2018 11:05 AM",2018-11-21 11:05:00,"November 21, 2018 11:05 AM",#N/A,MoneyControl
50,Buy,Sanghi Industries,86,Nalanda Securities,"November 20, 2018 04:33 PM",2018-11-20 04:33:00,"November 20, 2018 04:33 PM",#N/A,MoneyControl
51,Buy,Mahanagar Gas,1095,Nalanda Securities,"November 20, 2018 04:32 PM",2018-11-20 04:32:00,"November 20, 2018 04:32 PM",#N/A,MoneyControl
52,Buy,Ashok Leyland,155,Dalmia Securities,"November 20, 2018 04:31 PM",2018-11-20 04:31:00,"November 20, 2018 04:31 PM",#N/A,MoneyControl
53,Sell,Linde India,546,Dalmia Securities,"November 20, 2018 04:29 PM",2018-11-20 04:29:00,"November 20, 2018 04:29 PM",#N/A,MoneyControl
54,Buy,Sterling Tools,413,Dolat Capital,"November 20, 2018 04:21 PM",2018-11-20 04:21:00,"November 20, 2018 04:21 PM",#N/A,MoneyControl
55,Buy,PNC Infra,214,Dolat Capital,"November 20, 2018 04:20 PM",2018-11-20 04:20:00,"November 20, 2018 04:20 PM",#N/A,MoneyControl
56,Buy,Maruti Suzuki,8484,Motilal Oswal,"November 20, 2018 03:57 PM",2018-11-20 03:57:00,"November 20, 2018 03:57 PM",#N/A,MoneyControl
57,Buy,Jindal Steel and Power,336,Motilal Oswal,"November 20, 2018 03:48 PM",2018-11-20 03:48:00,"November 20, 2018 03:48 PM",#N/A,MoneyControl
58,Buy,NMDC,175,Motilal Oswal,"November 20, 2018 03:38 PM",2018-11-20 03:38:00,"November 20, 2018 03:38 PM",#N/A,MoneyControl
59,Buy,Ashok Leyland,147,Motilal Oswal,"November 20, 2018 03:14 PM",2018-11-20 03:14:00,"November 20, 2018 03:14 PM",#N/A,MoneyControl
60,Buy,Reliance Industries,1250,Ashish Chaturmohta,"November 20, 2018 02:33 PM",2018-11-20 02:33:00,"November 20, 2018 02:33 PM",#N/A,MoneyControl
61,Buy,Larsen & Toubro,1600,Ashish Chaturmohta,"November 20, 2018 02:28 PM",2018-11-20 02:28:00,"November 20, 2018 02:28 PM",#N/A,MoneyControl
62,Buy,Aurobindo Pharma,900,Ashish Chaturmohta,"November 20, 2018 02:26 PM",2018-11-20 02:26:00,"November 20, 2018 02:26 PM",#N/A,MoneyControl
63,Buy,NRB Bearings,235,Ashish Chaturmohta,"November 20, 2018 02:23 PM",2018-11-20 02:23:00,"November 20, 2018 02:23 PM",#N/A,MoneyControl
64,Buy,Kaveri Seed Co,670,Motilal Oswal,"November 20, 2018 02:44 PM",2018-11-20 02:44:00,"November 20, 2018 02:44 PM",#N/A,MoneyControl
65,Buy,Mahindra and Mahindra,950,LKP Research,"November 20, 2018 02:02 PM",2018-11-20 02:02:00,"November 20, 2018 02:02 PM",#N/A,MoneyControl
66,Buy,Sun Pharma,760,Motilal Oswal,"November 20, 2018 01:58 PM",2018-11-20 01:58:00,"November 20, 2018 01:58 PM",#N/A,MoneyControl
67,Buy,Ashok Leyland,142,LKP Research,"November 20, 2018 01:56 PM",2018-11-20 01:56:00,"November 20, 2018 01:56 PM",#N/A,MoneyControl
68,Buy,Ipca Laboratories,829,Prabhudas Lilladher,"November 20, 2018 01:49 PM",2018-11-20 01:49:00,"November 20, 2018 01:49 PM",#N/A,MoneyControl
69,Buy,Mahindra and Mahindra,984,Prabhudas Lilladher,"November 20, 2018 01:44 PM",2018-11-20 01:44:00,"November 20, 2018 01:44 PM",#N/A,MoneyControl
70,Buy,Future Retail,604,Prabhudas Lilladher,"November 20, 2018 01:40 PM",2018-11-20 01:40:00,"November 20, 2018 01:40 PM",#N/A,MoneyControl
71,Buy,Max Financial Services,629,Prabhudas Lilladher,"November 20, 2018 01:39 PM",2018-11-20 01:39:00,"November 20, 2018 01:39 PM",#N/A,MoneyControl
72,Buy,Canara Bank,287,Vinay Rajani,"November 20, 2018 11:47 AM",2018-11-20 11:47:00,"November 20, 2018 11:47 AM",#N/A,MoneyControl
73,Buy,GSFC,119,Vinay Rajani,"November 20, 2018 11:45 AM",2018-11-20 11:45:00,"November 20, 2018 11:45 AM",#N/A,MoneyControl
74,Buy,ITC,302,Vinay Rajani,"November 20, 2018 11:42 AM",2018-11-20 11:42:00,"November 20, 2018 11:42 AM",#N/A,MoneyControl
75,Buy,Ahluwalia Contracts,453,Dolat Capital,"November 19, 2018 03:56 PM",2018-11-19 03:56:00,"November 19, 2018 03:56 PM",#N/A,MoneyControl
76,Buy,NCC,166,Dolat Capital,"November 19, 2018 03:54 PM",2018-11-19 03:54:00,"November 19, 2018 03:54 PM",#N/A,MoneyControl
77,Buy,KNR Constructions,369,Dolat Capital,"November 19, 2018 03:50 PM",2018-11-19 03:50:00,"November 19, 2018 03:50 PM",#N/A,MoneyControl
78,Buy,Dilip Buildcon,711,Dolat Capital,"November 19, 2018 03:48 PM",2018-11-19 03:48:00,"November 19, 2018 03:48 PM",#N/A,MoneyControl
79,Sell,Skipper,90,Dolat Capital,"November 19, 2018 04:14 PM",2018-11-19 04:14:00,"November 19, 2018 04:14 PM",#N/A,MoneyControl
80,Buy,Dabur India,420,Shabbir Kayyumi,"November 19, 2018 12:02 PM",2018-11-19 12:02:00,"November 19, 2018 12:02 PM",#N/A,MoneyControl
81,Buy,Tata Steel,655,Dharmesh Shah,"November 19, 2018 11:42 AM",2018-11-19 11:42:00,"November 19, 2018 11:42 AM",#N/A,MoneyControl
82,Buy,Indian Hotels,150,HDFC Securities,"November 16, 2018 05:07 PM",2018-11-16 05:07:00,"November 16, 2018 05:07 PM",#N/A,MoneyControl
83,Buy,Indian Bank,304,Cholamandalam Securities,"November 16, 2018 04:57 PM",2018-11-16 04:57:00,"November 16, 2018 04:57 PM",#N/A,MoneyControl
84,Buy,JK Cements,884,Cholamandalam Securities,"November 16, 2018 04:57 PM",2018-11-16 04:57:00,"November 16, 2018 04:57 PM",#N/A,MoneyControl
85,Buy,Orient Cement,108,Cholamandalam Securities,"November 16, 2018 04:55 PM",2018-11-16 04:55:00,"November 16, 2018 04:55 PM",#N/A,MoneyControl
86,Buy,Natco Pharma,930,Anand Rathi,"November 16, 2018 04:53 PM",2018-11-16 04:53:00,"November 16, 2018 04:53 PM",#N/A,MoneyControl
87,Buy,KNR Construction,269,Anand Rathi,"November 16, 2018 04:52 PM",2018-11-16 04:52:00,"November 16, 2018 04:52 PM",#N/A,MoneyControl
88,Buy,Aarti Industries,1600,Anand Rathi,"November 16, 2018 04:51 PM",2018-11-16 04:51:00,"November 16, 2018 04:51 PM",#N/A,MoneyControl
89,Buy,Glenmark,790,HDFC Securities,"November 16, 2018 04:49 PM",2018-11-16 04:49:00,"November 16, 2018 04:49 PM",#N/A,MoneyControl
90,Buy,Aurobindo Pharma,875,HDFC Securities,"November 16, 2018 04:37 PM",2018-11-16 04:37:00,"November 16, 2018 04:37 PM",#N/A,MoneyControl
91,Buy,Sun Pharma,670,HDFC Securities,"November 16, 2018 04:36 PM",2018-11-16 04:36:00,"November 16, 2018 04:36 PM",#N/A,MoneyControl
92,Buy,Brigade Enterprises,306,HDFC Securities,"November 16, 2018 04:26 PM",2018-11-16 04:26:00,"November 16, 2018 04:26 PM",#N/A,MoneyControl
93,Buy,Dilip Buildcon,817,HDFC Securities,"November 16, 2018 04:17 PM",2018-11-16 04:17:00,"November 16, 2018 04:17 PM",#N/A,MoneyControl
94,Buy,J. Kumar Infraprojects,284,HDFC Securities,"November 16, 2018 04:41 PM",2018-11-16 04:41:00,"November 16, 2018 04:41 PM",#N/A,MoneyControl
95,Buy,Insecticides India,960,HDFC Securities,"November 16, 2018 04:15 PM",2018-11-16 04:15:00,"November 16, 2018 04:15 PM",#N/A,MoneyControl
96,Buy,Gulf Oil Lubricants,946,HDFC Securities,"November 16, 2018 04:12 PM",2018-11-16 04:12:00,"November 16, 2018 04:12 PM",#N/A,MoneyControl
97,Buy,Jamna Auto,100,HDFC Securities,"November 16, 2018 04:11 PM",2018-11-16 04:11:00,"November 16, 2018 04:11 PM",#N/A,MoneyControl
98,Buy,Oil India,221,HDFC Securities,"November 16, 2018 04:01 PM",2018-11-16 04:01:00,"November 16, 2018 04:01 PM",#N/A,MoneyControl
99,Buy,NCC,168,HDFC Securities,"November 16, 2018 03:59 PM",2018-11-16 03:59:00,"November 16, 2018 03:59 PM",#N/A,MoneyControl
100,Buy,Grindwell Norton,786,Anand Rathi,"November 15, 2018 06:05 PM",2018-11-15 06:05:00,"November 15, 2018 06:05 PM",#N/A,MoneyControl
101,Buy,Visaka Industries,640,Anand Rathi,"November 15, 2018 06:05 PM",2018-11-15 06:05:00,"November 15, 2018 06:05 PM",#N/A,MoneyControl
102,Buy,Voltamp Transformers,1538,Anand Rathi,"November 15, 2018 06:04 PM",2018-11-15 06:04:00,"November 15, 2018 06:04 PM",#N/A,MoneyControl
103,Buy,Indian Bank,335,Anand Rathi,"November 15, 2018 06:02 PM",2018-11-15 06:02:00,"November 15, 2018 06:02 PM",#N/A,MoneyControl
104,Buy,State Bank of India,355,Prabhudas Lilladher,"November 15, 2018 05:48 PM",2018-11-15 05:48:00,"November 15, 2018 05:48 PM",#N/A,MoneyControl
105,Buy,Hindalco,340,Centrum,"November 15, 2018 04:43 PM",2018-11-15 04:43:00,"November 15, 2018 04:43 PM",#N/A,MoneyControl
106,Buy,State Bank of India,350,Centrum,"November 15, 2018 04:16 PM",2018-11-15 04:16:00,"November 15, 2018 04:16 PM",#N/A,MoneyControl
107,Buy,Gabriel India,192,Anand Rathi,"November 15, 2018 05:52 PM",2018-11-15 05:52:00,"November 15, 2018 05:52 PM",#N/A,MoneyControl
108,Buy,Oriental Carbon and Chemicals,1575,Centrum,"November 15, 2018 03:46 PM",2018-11-15 03:46:00,"November 15, 2018 03:46 PM",#N/A,MoneyControl
