,Call_Buy-Sell,Cmp_Name,Target_Price,Analyst_or_Cmp,Call_Time,Call_Time_normal,Call_Time_secs,Stop_Loss,From_Site
1,Buy,Karnataka Bank,240,Centrum Research,"January 15, 2018 05:53 PM",2018-01-15 05:53:00,"January 15, 2018 05:53 PM",#N/A,MoneyControl
2,Buy,Karnataka Bank,207,Edelweiss,"January 15, 2018 04:37 PM",2018-01-15 04:37:00,"January 15, 2018 04:37 PM",#N/A,MoneyControl
3,Buy,Delta Corp,411,Emkay Global,"January 15, 2018 04:31 PM",2018-01-15 04:31:00,"January 15, 2018 04:31 PM",#N/A,MoneyControl
4,Buy,Infosys,1240,Reliance Securities,"January 15, 2018 04:28 PM",2018-01-15 04:28:00,"January 15, 2018 04:28 PM",#N/A,MoneyControl
5,Buy,Shemaroo Entertainment,612,Nirmal Bang,"January 15, 2018 05:10 PM",2018-01-15 05:10:00,"January 15, 2018 05:10 PM",#N/A,MoneyControl
6,Buy,Federal Bank,152,Edelweiss,"January 15, 2018 04:18 PM",2018-01-15 04:18:00,"January 15, 2018 04:18 PM",#N/A,MoneyControl
7,Buy,Federal Bank,149,Motilal Oswal,"January 15, 2018 03:52 PM",2018-01-15 03:52:00,"January 15, 2018 03:52 PM",#N/A,MoneyControl
8,Buy,Infosys,1220,Prabhudas Lilladher,"January 15, 2018 03:37 PM",2018-01-15 03:37:00,"January 15, 2018 03:37 PM",#N/A,MoneyControl
9,Buy,Infosys,1250,Motilal Oswal,"January 12, 2018 06:33 PM",2018-01-12 06:33:00,"January 12, 2018 06:33 PM",#N/A,MoneyControl
10,Buy,PC Jeweller,645,Motilal Oswal,"January 12, 2018 06:31 PM",2018-01-12 06:31:00,"January 12, 2018 06:31 PM",#N/A,MoneyControl
11,Buy,Maruti Suzuki India,10749,Kotak Securities,"January 12, 2018 06:29 PM",2018-01-12 06:29:00,"January 12, 2018 06:29 PM",#N/A,MoneyControl
12,Sell,Shree Cement,15650,Centrum Research,"January 12, 2018 05:49 PM",2018-01-12 05:49:00,"January 12, 2018 05:49 PM",#N/A,MoneyControl
13,Buy,ICICI Pru Life Insurance,450,Geojit,"January 12, 2018 05:30 PM",2018-01-12 05:30:00,"January 12, 2018 05:30 PM",#N/A,MoneyControl
14,Buy,Dhanuka Agritech,948,Bonanza,"January 12, 2018 05:19 PM",2018-01-12 05:19:00,"January 12, 2018 05:19 PM",#N/A,MoneyControl
15,Buy,Infosys,1150,JM Financial,"January 12, 2018 04:44 PM",2018-01-12 04:44:00,"January 12, 2018 04:44 PM",#N/A,MoneyControl
16,Buy,Infosys,1265,Edelweiss,"January 12, 2018 04:32 PM",2018-01-12 04:32:00,"January 12, 2018 04:32 PM",#N/A,MoneyControl
17,Buy,South Indian Bank,38,Motilal Oswal,"January 11, 2018 05:36 PM",2018-01-11 05:36:00,"January 11, 2018 05:36 PM",#N/A,MoneyControl
18,Buy,MAS Financial Services,740,Motilal Oswal,"January 11, 2018 05:15 PM",2018-01-11 05:15:00,"January 11, 2018 05:15 PM",#N/A,MoneyControl
19,Buy,Shree Cement,22854,Edelweiss,"January 11, 2018 05:14 PM",2018-01-11 05:14:00,"January 11, 2018 05:14 PM",#N/A,MoneyControl
20,Buy,IndusInd Bank,2020,Edelweiss,"January 11, 2018 05:12 PM",2018-01-11 05:12:00,"January 11, 2018 05:12 PM",#N/A,MoneyControl
21,Buy,Coal India,359,Emkay Global,"January 11, 2018 05:10 PM",2018-01-11 05:10:00,"January 11, 2018 05:10 PM",#N/A,MoneyControl
22,Buy,IndusInd Bank,1889,HDFC Securities,"January 11, 2018 05:06 PM",2018-01-11 05:06:00,"January 11, 2018 05:06 PM",#N/A,MoneyControl
23,Buy,Bajaj Corp,520,JM Financial,"January 11, 2018 04:18 PM",2018-01-11 04:18:00,"January 11, 2018 04:18 PM",#N/A,MoneyControl
24,Buy,IndusInd Bank,2120,JM Financial,"January 11, 2018 04:16 PM",2018-01-11 04:16:00,"January 11, 2018 04:16 PM",#N/A,MoneyControl
25,Buy,Tata Motors,593,Motilal Oswal,"January 10, 2018 05:38 PM",2018-01-10 05:38:00,"January 10, 2018 05:38 PM",#N/A,MoneyControl
26,Buy,Essel Propack,341,Geojit,"January 10, 2018 05:26 PM",2018-01-10 05:26:00,"January 10, 2018 05:26 PM",#N/A,MoneyControl
27,Buy,South Indian Bank,44,Edelweiss,"January 10, 2018 05:06 PM",2018-01-10 05:06:00,"January 10, 2018 05:06 PM",#N/A,MoneyControl
28,Buy,South Indian Bank,40,Cholamandalam Securities,"January 10, 2018 05:02 PM",2018-01-10 05:02:00,"January 10, 2018 05:02 PM",#N/A,MoneyControl
29,Buy,Dabur India,395,Axis Direct,"January 10, 2018 04:59 PM",2018-01-10 04:59:00,"January 10, 2018 04:59 PM",#N/A,MoneyControl
30,Buy,Reliance Nippon Life Asset Management,350,JM Financial,"January 09, 2018 06:40 PM",2018-01-09 06:40:00,"January 09, 2018 06:40 PM",#N/A,MoneyControl
31,Buy,Bliss GVS Pharma,350,Joindre Capital,"January 09, 2018 05:02 PM",2018-01-09 05:02:00,"January 09, 2018 05:02 PM",#N/A,MoneyControl
32,Buy,Infosys,1200,Motilal Oswal,"January 09, 2018 04:05 PM",2018-01-09 04:05:00,"January 09, 2018 04:05 PM",#N/A,MoneyControl
33,Sell,Bharti Infratel,310,HDFC Securities,"January 08, 2018 05:07 PM",2018-01-08 05:07:00,"January 08, 2018 05:07 PM",#N/A,MoneyControl
34,Buy,Jubilant Life Sciences,957,Motilal Oswal,"January 08, 2018 04:57 PM",2018-01-08 04:57:00,"January 08, 2018 04:57 PM",#N/A,MoneyControl
35,Buy,Sudarshan Chemicals,740,SSJ Finance,"January 08, 2018 01:02 PM",2018-01-08 01:02:00,"January 08, 2018 01:02 PM",#N/A,MoneyControl
36,Buy,Phillips Carbon Black,1700,ICICI Direct,"January 04, 2018 04:49 PM",2018-01-04 04:49:00,"January 04, 2018 04:49 PM",#N/A,MoneyControl
37,Buy,Reliance Industries,1151,Edelweiss,"January 03, 2018 04:42 PM",2018-01-03 04:42:00,"January 03, 2018 04:42 PM",#N/A,MoneyControl
38,Buy,Century Plyboards,398,Kotak Securities,"January 03, 2018 04:25 PM",2018-01-03 04:25:00,"January 03, 2018 04:25 PM",#N/A,MoneyControl
39,Buy,ICICI Bank,370,Motilal Oswal,"January 03, 2018 04:17 PM",2018-01-03 04:17:00,"January 03, 2018 04:17 PM",#N/A,MoneyControl
40,Buy,NMDC,195,Edelweiss,"January 03, 2018 04:04 PM",2018-01-03 04:04:00,"January 03, 2018 04:04 PM",#N/A,MoneyControl
41,Buy,Greaves Cotton,208,Joindre Capital,"January 02, 2018 04:42 PM",2018-01-02 04:42:00,"January 02, 2018 04:42 PM",#N/A,MoneyControl
42,Buy,Coromandel Intl,689,Bonanza,"January 01, 2018 05:35 PM",2018-01-01 05:35:00,"January 01, 2018 05:35 PM",#N/A,MoneyControl
43,Buy,Wipro,350,ICICI Direct,"December 29, 2017 04:44 PM",2017-12-29 04:44:00,"December 29, 2017 04:44 PM",#N/A,MoneyControl
44,Buy,Petronet LNG,285,Kotak Securities,"December 28, 2017 03:26 PM",2017-12-28 03:26:00,"December 28, 2017 03:26 PM",#N/A,MoneyControl
45,Buy,Dishman Carbogen Amcis,435,HDFC Securities,"December 26, 2017 03:39 PM",2017-12-26 03:39:00,"December 26, 2017 03:39 PM",#N/A,MoneyControl
46,Buy,Simplex Infrastructure,750,ICICI Direct,"December 26, 2017 02:22 PM",2017-12-26 02:22:00,"December 26, 2017 02:22 PM",#N/A,MoneyControl
47,Buy,Greenply Industries,425,ICICI Direct,"December 26, 2017 02:21 PM",2017-12-26 02:21:00,"December 26, 2017 02:21 PM",#N/A,MoneyControl
48,Buy,Gujarat Gas,1000,ICICI Direct,"December 26, 2017 02:19 PM",2017-12-26 02:19:00,"December 26, 2017 02:19 PM",#N/A,MoneyControl
49,Buy,KSB Pumps,1080,ICICI Direct,"December 26, 2017 01:58 PM",2017-12-26 01:58:00,"December 26, 2017 01:58 PM",#N/A,MoneyControl
50,Buy,Bajaj Electricals,575,ICICI Direct,"December 26, 2017 11:19 AM",2017-12-26 11:19:00,"December 26, 2017 11:19 AM",#N/A,MoneyControl
51,Buy,Karur Vysya Bank,145,KR Choksey,"December 20, 2017 01:52 PM",2017-12-20 01:52:00,"December 20, 2017 01:52 PM",#N/A,MoneyControl
52,Buy,Indraprastha Gas,404,Motilal Oswal,"December 19, 2017 02:30 PM",2017-12-19 02:30:00,"December 19, 2017 02:30 PM",#N/A,MoneyControl
53,Buy,TeamLease Services,2500,Motilal Oswal,"December 19, 2017 02:27 PM",2017-12-19 02:27:00,"December 19, 2017 02:27 PM",#N/A,MoneyControl
54,Buy,S Chand and Company Ltd,632,Nirmal Bang,"December 18, 2017 03:44 PM",2017-12-18 03:44:00,"December 18, 2017 03:44 PM",#N/A,MoneyControl
55,Buy,Atul Auto Ltd,552,Mehta Equites,"December 17, 2017 03:43 PM",2017-12-17 03:43:00,"December 17, 2017 03:43 PM",#N/A,MoneyControl
56,Buy,Thyrocare Technologies,740,Edelweiss,"December 12, 2017 03:48 PM",2017-12-12 03:48:00,"December 12, 2017 03:48 PM",#N/A,MoneyControl
57,Buy,Tech Mahindra,546,Edelweiss,"December 12, 2017 03:21 PM",2017-12-12 03:21:00,"December 12, 2017 03:21 PM",#N/A,MoneyControl
58,Buy,Havells,640,Edelweiss,"December 12, 2017 03:18 PM",2017-12-12 03:18:00,"December 12, 2017 03:18 PM",#N/A,MoneyControl
59,Buy,Bharat Bijlee,1399,Dalmia Securities,"December 11, 2017 06:19 PM",2017-12-11 06:19:00,"December 11, 2017 06:19 PM",#N/A,MoneyControl
60,Buy,Bharti Airtel,625,Edelweiss,"December 11, 2017 06:12 PM",2017-12-11 06:12:00,"December 11, 2017 06:12 PM",#N/A,MoneyControl
61,Buy,Rama Steel Tubes,243,Khambatta Securities,"December 11, 2017 06:09 PM",2017-12-11 06:09:00,"December 11, 2017 06:09 PM",#N/A,MoneyControl
62,Buy,DLF,266,Axis Direct,"December 11, 2017 03:45 PM",2017-12-11 03:45:00,"December 11, 2017 03:45 PM",#N/A,MoneyControl
63,Buy,Libas Designs Limited,134,Khambatta Securities,"December 07, 2017 06:31 PM",2017-12-07 06:31:00,"December 07, 2017 06:31 PM",#N/A,MoneyControl
64,Buy,Libas Designs,134,Khambatta Securities,"December 07, 2017 06:15 PM",2017-12-07 06:15:00,"December 07, 2017 06:15 PM",#N/A,MoneyControl
65,Buy,Dollar Industries,560,Kotak Securities,"December 07, 2017 11:31 AM",2017-12-07 11:31:00,"December 07, 2017 11:31 AM",#N/A,MoneyControl
66,Buy,Havells India,590,Motilal Oswal,"December 06, 2017 06:34 PM",2017-12-06 06:34:00,"December 06, 2017 06:34 PM",#N/A,MoneyControl
67,Buy,Shankara Building Products,2340,ICICI Direct,"December 06, 2017 03:57 PM",2017-12-06 03:57:00,"December 06, 2017 03:57 PM",#N/A,MoneyControl
68,Buy,Dish TV,95,ICICI Direct,"December 06, 2017 03:42 PM",2017-12-06 03:42:00,"December 06, 2017 03:42 PM",#N/A,MoneyControl
69,Buy,Bharat Heavy Electricals,110,Edelweiss,"December 06, 2017 11:38 AM",2017-12-06 11:38:00,"December 06, 2017 11:38 AM",#N/A,MoneyControl
70,Buy,HCL Technologies,1030,JM Financial,"December 06, 2017 11:35 AM",2017-12-06 11:35:00,"December 06, 2017 11:35 AM",#N/A,MoneyControl
71,Buy,ICICI Bank,340,JM Financial,"December 06, 2017 11:32 AM",2017-12-06 11:32:00,"December 06, 2017 11:32 AM",#N/A,MoneyControl
72,Buy,MCX,1300,Motilal Oswal,"December 05, 2017 06:44 PM",2017-12-05 06:44:00,"December 05, 2017 06:44 PM",#N/A,MoneyControl
73,Buy,L&T Finance Holdings,235,JM Financial,"December 05, 2017 03:45 PM",2017-12-05 03:45:00,"December 05, 2017 03:45 PM",#N/A,MoneyControl
74,Buy,FIEM Industries,1260,Centrum,"December 05, 2017 12:39 PM",2017-12-05 12:39:00,"December 05, 2017 12:39 PM",#N/A,MoneyControl
75,Buy,Infosys,1100,Motilal Oswal,"December 03, 2017 05:23 PM",2017-12-03 05:23:00,"December 03, 2017 05:23 PM",#N/A,MoneyControl
76,Buy,Persistent Systems,780,Motilal Oswal,"December 03, 2017 05:15 PM",2017-12-03 05:15:00,"December 03, 2017 05:15 PM",#N/A,MoneyControl
77,Buy,Sadbhav Engineering,435,Motilal Oswal,"November 30, 2017 05:27 PM",2017-11-30 05:27:00,"November 30, 2017 05:27 PM",#N/A,MoneyControl
